Yer,Puan,Şehir,KullanıcıSayısı,Kategori,Mevsim
Gezilecek Yer 38671,4.8,İzmir,21864,Park,Bahar
Gezilecek Yer 38672,4.4,Adana,37287,Plaj,Yaz
Gezilecek Yer 38673,3.7,Muğla,52775,Park,Yaz
Gezilecek Yer 38674,4.5,Trabzon,53337,Restoran,Yaz
Gezilecek Yer 38675,4.3,Antalya,3154,Plaj,Kış
Gezilecek Yer 38676,4.0,İstanbul,21748,Plaj,Yaz
Gezilecek Yer 38677,5.0,Bodrum,13798,Plaj,Yaz
Gezilecek Yer 38678,4.8,Trabzon,19273,Tarihi Yer,Yaz
Gezilecek Yer 38679,3.7,İzmir,51035,Tarihi Yer,Bahar
Gezilecek Yer 38680,3.8,Bodrum,13073,Plaj,Kış
Gezilecek Yer 38681,3.6,İstanbul,52370,Park,Bahar
Gezilecek Yer 38682,4.2,Antalya,10207,Restoran,Yaz
Gezilecek Yer 38683,3.6,Antalya,28652,Plaj,Kış
Gezilecek Yer 38684,4.9,Antalya,17999,Restoran,Bahar
Gezilecek Yer 38685,4.2,İzmir,50847,Restoran,Yaz
Gezilecek Yer 38686,4.9,Adana,51478,Plaj,Kış
Gezilecek Yer 38687,4.6,Konya,30953,Park,Bahar
Gezilecek Yer 38688,3.7,Antalya,28065,Restoran,Yaz
Gezilecek Yer 38689,4.4,Konya,56516,Park,Bahar
Gezilecek Yer 38690,3.7,İzmir,40603,Müze,Yaz
Gezilecek Yer 38691,4.0,Adana,30242,Plaj,Yaz
Gezilecek Yer 38692,3.8,Bursa,50958,Müze,Bahar
Gezilecek Yer 38693,3.7,Ankara,31540,Tarihi Yer,Yaz
Gezilecek Yer 38694,3.9,Trabzon,57059,Tarihi Yer,Sonbahar
Gezilecek Yer 38695,3.6,Ankara,9431,Park,Bahar
Gezilecek Yer 38696,4.9,Konya,29924,Müze,Sonbahar
Gezilecek Yer 38697,4.5,Antalya,39714,Tarihi Yer,Bahar
Gezilecek Yer 38698,5.0,İstanbul,5276,Restoran,Yaz
Gezilecek Yer 38699,4.9,Bursa,40835,Plaj,Bahar
Gezilecek Yer 38700,4.2,Ankara,53768,Park,Bahar
Gezilecek Yer 38701,3.9,İstanbul,16321,Müze,Kış
Gezilecek Yer 38702,4.6,İzmir,44305,Plaj,Bahar
Gezilecek Yer 38703,4.5,İstanbul,13115,Restoran,Sonbahar
Gezilecek Yer 38704,4.0,Ankara,26366,Restoran,Kış
Gezilecek Yer 38705,4.4,Muğla,23315,Park,Yaz
Gezilecek Yer 38706,3.6,Trabzon,18120,Plaj,Sonbahar
Gezilecek Yer 38707,4.4,İstanbul,11444,Restoran,Bahar
Gezilecek Yer 38708,4.7,Trabzon,33528,Restoran,Bahar
Gezilecek Yer 38709,4.7,Ankara,21416,Restoran,Yaz
Gezilecek Yer 38710,4.6,İstanbul,23100,Müze,Bahar
Gezilecek Yer 38711,5.0,Ankara,28063,Plaj,Kış
Gezilecek Yer 38712,4.8,Bodrum,58674,Müze,Yaz
Gezilecek Yer 38713,4.0,Adana,12543,Plaj,Kış
Gezilecek Yer 38714,4.2,İstanbul,59463,Müze,Yaz
Gezilecek Yer 38715,4.1,Antalya,43337,Park,Yaz
Gezilecek Yer 38716,4.1,İzmir,53264,Müze,Sonbahar
Gezilecek Yer 38717,3.9,Antalya,49449,Park,Bahar
Gezilecek Yer 38718,4.9,Konya,45972,Park,Yaz
Gezilecek Yer 38719,4.9,Muğla,691,Tarihi Yer,Sonbahar
Gezilecek Yer 38720,4.0,Trabzon,5963,Tarihi Yer,Kış
Gezilecek Yer 38721,5.0,Adana,59726,Tarihi Yer,Yaz
Gezilecek Yer 38722,4.5,Bursa,50166,Park,Kış
Gezilecek Yer 38723,4.1,Konya,46695,Restoran,Yaz
Gezilecek Yer 38724,4.1,İstanbul,24176,Plaj,Bahar
Gezilecek Yer 38725,4.8,Adana,50663,Müze,Yaz
Gezilecek Yer 38726,4.5,Bursa,21903,Restoran,Bahar
Gezilecek Yer 38727,4.8,Adana,49642,Tarihi Yer,Yaz
Gezilecek Yer 38728,4.4,Muğla,41035,Restoran,Bahar
Gezilecek Yer 38729,4.6,İstanbul,43586,Restoran,Yaz
Gezilecek Yer 38730,3.5,Ankara,2481,Müze,Yaz
Gezilecek Yer 38731,4.6,İzmir,5652,Restoran,Bahar
Gezilecek Yer 38732,4.9,Konya,28510,Plaj,Bahar
Gezilecek Yer 38733,4.1,Trabzon,12018,Müze,Kış
Gezilecek Yer 38734,4.6,Trabzon,23105,Tarihi Yer,Kış
Gezilecek Yer 38735,3.6,Trabzon,1267,Tarihi Yer,Kış
Gezilecek Yer 38736,4.7,Adana,30257,Tarihi Yer,Bahar
Gezilecek Yer 38737,4.5,Muğla,20611,Tarihi Yer,Yaz
Gezilecek Yer 38738,4.5,Konya,7576,Restoran,Sonbahar
Gezilecek Yer 38739,4.6,İstanbul,49846,Park,Sonbahar
Gezilecek Yer 38740,4.2,İstanbul,36731,Restoran,Sonbahar
Gezilecek Yer 38741,4.1,İzmir,39291,Restoran,Yaz
Gezilecek Yer 38742,4.1,Adana,16983,Park,Sonbahar
Gezilecek Yer 38743,4.9,Trabzon,20191,Park,Kış
Gezilecek Yer 38744,3.7,Antalya,50410,Tarihi Yer,Kış
Gezilecek Yer 38745,3.8,Antalya,681,Park,Bahar
Gezilecek Yer 38746,5.0,Konya,28457,Park,Kış
Gezilecek Yer 38747,4.0,Adana,57733,Park,Yaz
Gezilecek Yer 38748,4.1,Trabzon,30891,Park,Kış
Gezilecek Yer 38749,4.3,İstanbul,30615,Plaj,Yaz
Gezilecek Yer 38750,4.2,Trabzon,5393,Park,Bahar
Gezilecek Yer 38751,3.7,Muğla,58170,Park,Kış
Gezilecek Yer 38752,4.1,Muğla,42458,Restoran,Sonbahar
Gezilecek Yer 38753,4.3,Ankara,29424,Plaj,Kış
Gezilecek Yer 38754,4.8,Trabzon,10487,Tarihi Yer,Yaz
Gezilecek Yer 38755,4.5,Adana,23800,Restoran,Bahar
Gezilecek Yer 38756,4.7,Antalya,57921,Park,Kış
Gezilecek Yer 38757,3.9,Muğla,51902,Restoran,Yaz
Gezilecek Yer 38758,4.4,İzmir,28340,Müze,Yaz
Gezilecek Yer 38759,4.2,Trabzon,25349,Plaj,Kış
Gezilecek Yer 38760,5.0,İzmir,15191,Park,Kış
Gezilecek Yer 38761,4.9,Adana,49477,Park,Sonbahar
Gezilecek Yer 38762,3.6,Adana,43037,Restoran,Yaz
Gezilecek Yer 38763,3.9,Bodrum,39379,Müze,Yaz
Gezilecek Yer 38764,3.9,Konya,46029,Park,Kış
Gezilecek Yer 38765,4.1,Bursa,6569,Plaj,Sonbahar
Gezilecek Yer 38766,4.7,Trabzon,6156,Plaj,Sonbahar
Gezilecek Yer 38767,4.0,Antalya,57303,Tarihi Yer,Sonbahar
Gezilecek Yer 38768,3.9,Muğla,42945,Park,Sonbahar
Gezilecek Yer 38769,4.4,Muğla,29339,Restoran,Sonbahar
Gezilecek Yer 38770,4.0,İzmir,24251,Restoran,Sonbahar
Gezilecek Yer 38771,3.7,Muğla,18833,Müze,Kış
Gezilecek Yer 38772,4.8,Konya,6942,Park,Sonbahar
Gezilecek Yer 38773,4.1,Adana,8093,Restoran,Sonbahar
Gezilecek Yer 38774,3.8,İzmir,8053,Tarihi Yer,Sonbahar
Gezilecek Yer 38775,4.3,Muğla,6404,Plaj,Kış
Gezilecek Yer 38776,4.6,İstanbul,12318,Plaj,Sonbahar
Gezilecek Yer 38777,4.5,Antalya,56432,Park,Kış
Gezilecek Yer 38778,3.8,Muğla,29275,Park,Sonbahar
Gezilecek Yer 38779,4.0,Konya,46949,Restoran,Yaz
Gezilecek Yer 38780,4.8,İzmir,26951,Tarihi Yer,Yaz
Gezilecek Yer 38781,4.4,Bodrum,49573,Restoran,Kış
Gezilecek Yer 38782,4.2,Bursa,49157,Müze,Kış
Gezilecek Yer 38783,4.2,Bodrum,1253,Müze,Bahar
Gezilecek Yer 38784,3.6,Konya,20009,Plaj,Sonbahar
Gezilecek Yer 38785,4.7,Trabzon,17436,Park,Sonbahar
Gezilecek Yer 38786,4.7,İzmir,57588,Müze,Kış
Gezilecek Yer 38787,3.8,Adana,3936,Tarihi Yer,Sonbahar
Gezilecek Yer 38788,4.4,Konya,42295,Tarihi Yer,Sonbahar
Gezilecek Yer 38789,3.6,Bodrum,8937,Plaj,Sonbahar
Gezilecek Yer 38790,4.6,Adana,34212,Park,Yaz
Gezilecek Yer 38791,4.1,Ankara,23536,Restoran,Bahar
Gezilecek Yer 38792,3.8,Antalya,27574,Plaj,Kış
Gezilecek Yer 38793,4.3,Ankara,47774,Plaj,Kış
Gezilecek Yer 38794,4.7,İzmir,6919,Tarihi Yer,Bahar
Gezilecek Yer 38795,4.8,Ankara,6656,Tarihi Yer,Yaz
Gezilecek Yer 38796,4.2,Muğla,3677,Tarihi Yer,Bahar
Gezilecek Yer 38797,4.2,Trabzon,24160,Plaj,Sonbahar
Gezilecek Yer 38798,4.3,Trabzon,37661,Tarihi Yer,Yaz
Gezilecek Yer 38799,4.0,İzmir,41849,Tarihi Yer,Yaz
Gezilecek Yer 38800,4.2,İzmir,28642,Müze,Sonbahar
Gezilecek Yer 38801,4.1,Antalya,30681,Restoran,Yaz
Gezilecek Yer 38802,3.6,Bursa,50242,Park,Sonbahar
Gezilecek Yer 38803,3.8,Trabzon,1487,Restoran,Bahar
Gezilecek Yer 38804,4.1,İstanbul,52025,Restoran,Yaz
Gezilecek Yer 38805,4.5,Bursa,58210,Plaj,Kış
Gezilecek Yer 38806,4.1,Ankara,45454,Park,Yaz
Gezilecek Yer 38807,4.8,Ankara,7926,Plaj,Sonbahar
Gezilecek Yer 38808,4.3,Trabzon,32934,Restoran,Kış
Gezilecek Yer 38809,4.6,Trabzon,9203,Restoran,Kış
Gezilecek Yer 38810,4.4,Ankara,43256,Restoran,Yaz
Gezilecek Yer 38811,4.0,Konya,31407,Park,Bahar
Gezilecek Yer 38812,3.5,Ankara,17651,Restoran,Yaz
Gezilecek Yer 38813,4.7,İstanbul,869,Park,Sonbahar
Gezilecek Yer 38814,4.2,Trabzon,42998,Plaj,Sonbahar
Gezilecek Yer 38815,4.7,Bodrum,18133,Restoran,Sonbahar
Gezilecek Yer 38816,4.3,Antalya,51368,Park,Kış
Gezilecek Yer 38817,4.5,Adana,23385,Plaj,Sonbahar
Gezilecek Yer 38818,4.2,Bursa,30434,Restoran,Sonbahar
Gezilecek Yer 38819,4.7,Trabzon,44809,Müze,Yaz
Gezilecek Yer 38820,3.8,Muğla,30431,Restoran,Sonbahar
Gezilecek Yer 38821,4.0,İstanbul,37698,Müze,Bahar
Gezilecek Yer 38822,4.1,İstanbul,26105,Plaj,Kış
Gezilecek Yer 38823,5.0,Muğla,33748,Park,Bahar
Gezilecek Yer 38824,4.1,Bodrum,46064,Müze,Yaz
Gezilecek Yer 38825,4.8,Ankara,25973,Plaj,Yaz
Gezilecek Yer 38826,4.8,Bodrum,31265,Restoran,Yaz
Gezilecek Yer 38827,4.3,Bursa,38018,Plaj,Sonbahar
Gezilecek Yer 38828,3.7,Antalya,45892,Restoran,Kış
Gezilecek Yer 38829,4.3,Trabzon,1302,Restoran,Sonbahar
Gezilecek Yer 38830,4.9,Bursa,20743,Plaj,Kış
Gezilecek Yer 38831,4.8,Trabzon,41014,Müze,Sonbahar
Gezilecek Yer 38832,4.4,Konya,49504,Müze,Bahar
Gezilecek Yer 38833,3.6,Muğla,7611,Tarihi Yer,Sonbahar
Gezilecek Yer 38834,3.7,Ankara,10620,Müze,Kış
Gezilecek Yer 38835,4.5,İzmir,23988,Restoran,Bahar
Gezilecek Yer 38836,4.5,Adana,13668,Tarihi Yer,Yaz
Gezilecek Yer 38837,3.6,Ankara,24528,Park,Sonbahar
Gezilecek Yer 38838,4.6,İzmir,16713,Park,Bahar
Gezilecek Yer 38839,5.0,Bursa,30659,Tarihi Yer,Bahar
Gezilecek Yer 38840,4.5,Muğla,33159,Tarihi Yer,Bahar
Gezilecek Yer 38841,4.3,Bodrum,25980,Restoran,Kış
Gezilecek Yer 38842,4.8,Adana,15280,Tarihi Yer,Yaz
Gezilecek Yer 38843,4.6,Bursa,7267,Park,Bahar
Gezilecek Yer 38844,3.5,Ankara,46278,Tarihi Yer,Bahar
Gezilecek Yer 38845,4.3,İzmir,14169,Tarihi Yer,Bahar
Gezilecek Yer 38846,5.0,Antalya,40488,Restoran,Yaz
Gezilecek Yer 38847,4.4,İzmir,14298,Tarihi Yer,Sonbahar
Gezilecek Yer 38848,4.0,Konya,31457,Tarihi Yer,Yaz
Gezilecek Yer 38849,4.0,Bodrum,52506,Park,Bahar
Gezilecek Yer 38850,3.9,Ankara,57401,Müze,Yaz
Gezilecek Yer 38851,4.7,Adana,38583,Plaj,Bahar
Gezilecek Yer 38852,4.5,Ankara,39969,Restoran,Kış
Gezilecek Yer 38853,4.9,Adana,35552,Müze,Bahar
Gezilecek Yer 38854,4.8,İzmir,13296,Müze,Kış
Gezilecek Yer 38855,4.4,Adana,14721,Tarihi Yer,Sonbahar
Gezilecek Yer 38856,3.8,Antalya,8900,Restoran,Kış
Gezilecek Yer 38857,4.9,Adana,23942,Restoran,Bahar
Gezilecek Yer 38858,4.9,Trabzon,29550,Tarihi Yer,Yaz
Gezilecek Yer 38859,4.4,Bursa,40283,Park,Sonbahar
Gezilecek Yer 38860,4.0,Bodrum,2276,Plaj,Sonbahar
Gezilecek Yer 38861,4.5,Antalya,4288,Plaj,Bahar
Gezilecek Yer 38862,4.1,Trabzon,6413,Tarihi Yer,Sonbahar
Gezilecek Yer 38863,3.7,Ankara,36613,Park,Sonbahar
Gezilecek Yer 38864,4.2,Muğla,56709,Park,Sonbahar
Gezilecek Yer 38865,4.3,Antalya,17144,Plaj,Kış
Gezilecek Yer 38866,3.7,İzmir,19692,Park,Sonbahar
Gezilecek Yer 38867,3.6,Muğla,8521,Müze,Kış
Gezilecek Yer 38868,4.5,Antalya,8024,Müze,Kış
Gezilecek Yer 38869,4.7,Bursa,49215,Park,Yaz
Gezilecek Yer 38870,4.3,Muğla,33875,Tarihi Yer,Sonbahar
Gezilecek Yer 38871,4.0,Bursa,40495,Restoran,Sonbahar
Gezilecek Yer 38872,4.4,Muğla,30816,Müze,Bahar
Gezilecek Yer 38873,4.2,Muğla,27641,Restoran,Bahar
Gezilecek Yer 38874,3.6,Muğla,49803,Tarihi Yer,Kış
Gezilecek Yer 38875,4.9,Bodrum,54224,Tarihi Yer,Yaz
Gezilecek Yer 38876,4.6,Bodrum,11823,Restoran,Yaz
Gezilecek Yer 38877,5.0,Konya,58719,Plaj,Yaz
Gezilecek Yer 38878,4.5,Bursa,18354,Restoran,Sonbahar
Gezilecek Yer 38879,4.1,Trabzon,26548,Tarihi Yer,Kış
Gezilecek Yer 38880,4.4,Trabzon,31221,Restoran,Sonbahar
Gezilecek Yer 38881,4.0,Bodrum,7951,Park,Sonbahar
Gezilecek Yer 38882,4.2,Adana,48898,Park,Yaz
Gezilecek Yer 38883,4.1,Ankara,52433,Plaj,Yaz
Gezilecek Yer 38884,5.0,Bodrum,48737,Tarihi Yer,Kış
Gezilecek Yer 38885,4.6,İstanbul,1208,Park,Kış
Gezilecek Yer 38886,4.3,Bursa,32247,Tarihi Yer,Yaz
Gezilecek Yer 38887,4.4,Bursa,31474,Plaj,Sonbahar
Gezilecek Yer 38888,4.1,Antalya,52572,Restoran,Sonbahar
Gezilecek Yer 38889,4.0,Bursa,7102,Restoran,Sonbahar
Gezilecek Yer 38890,3.9,İstanbul,26243,Park,Yaz
Gezilecek Yer 38891,4.6,Adana,12704,Müze,Kış
Gezilecek Yer 38892,4.7,Muğla,24266,Park,Kış
Gezilecek Yer 38893,3.9,İzmir,24132,Müze,Kış
Gezilecek Yer 38894,4.3,İzmir,4548,Park,Sonbahar
Gezilecek Yer 38895,4.0,Trabzon,57621,Park,Kış
Gezilecek Yer 38896,4.2,İstanbul,24740,Plaj,Bahar
Gezilecek Yer 38897,3.8,İzmir,47141,Park,Yaz
Gezilecek Yer 38898,3.8,İzmir,1269,Park,Bahar
Gezilecek Yer 38899,4.8,Antalya,1094,Restoran,Sonbahar
Gezilecek Yer 38900,4.5,İzmir,7276,Park,Kış
Gezilecek Yer 38901,4.3,Adana,6387,Restoran,Kış
Gezilecek Yer 38902,3.9,Bodrum,23693,Tarihi Yer,Yaz
Gezilecek Yer 38903,4.3,Muğla,30748,Plaj,Yaz
Gezilecek Yer 38904,3.9,Konya,51732,Plaj,Bahar
Gezilecek Yer 38905,3.7,İstanbul,20083,Tarihi Yer,Sonbahar
Gezilecek Yer 38906,3.5,Trabzon,29209,Restoran,Kış
Gezilecek Yer 38907,4.1,Ankara,31810,Plaj,Kış
Gezilecek Yer 38908,4.3,Muğla,19401,Plaj,Bahar
Gezilecek Yer 38909,3.6,Ankara,24157,Restoran,Yaz
Gezilecek Yer 38910,3.5,Konya,42385,Restoran,Yaz
Gezilecek Yer 38911,3.6,Adana,6320,Restoran,Bahar
Gezilecek Yer 38912,4.7,Bursa,26227,Plaj,Yaz
Gezilecek Yer 38913,4.6,İzmir,12883,Restoran,Bahar
Gezilecek Yer 38914,4.1,Adana,56262,Restoran,Yaz
Gezilecek Yer 38915,4.6,İstanbul,8309,Restoran,Kış
Gezilecek Yer 38916,4.0,Adana,8610,Plaj,Bahar
Gezilecek Yer 38917,4.1,Antalya,32177,Tarihi Yer,Yaz
Gezilecek Yer 38918,3.6,İzmir,21384,Tarihi Yer,Sonbahar
Gezilecek Yer 38919,3.8,Bodrum,17643,Plaj,Sonbahar
Gezilecek Yer 38920,4.6,Muğla,51221,Park,Sonbahar
Gezilecek Yer 38921,4.9,Trabzon,53629,Plaj,Sonbahar
Gezilecek Yer 38922,4.3,Antalya,56345,Tarihi Yer,Bahar
Gezilecek Yer 38923,4.4,İzmir,54586,Plaj,Bahar
Gezilecek Yer 38924,3.9,Bodrum,46111,Park,Sonbahar
Gezilecek Yer 38925,5.0,Adana,43062,Tarihi Yer,Yaz
Gezilecek Yer 38926,3.6,Adana,3668,Müze,Yaz
Gezilecek Yer 38927,3.7,Bodrum,13302,Plaj,Bahar
Gezilecek Yer 38928,5.0,Adana,39053,Müze,Kış
Gezilecek Yer 38929,4.0,Antalya,39279,Tarihi Yer,Kış
Gezilecek Yer 38930,4.7,Konya,14575,Müze,Bahar
Gezilecek Yer 38931,4.0,Muğla,51648,Tarihi Yer,Bahar
Gezilecek Yer 38932,4.9,Ankara,32411,Plaj,Bahar
Gezilecek Yer 38933,3.8,Muğla,27407,Plaj,Sonbahar
Gezilecek Yer 38934,4.6,İstanbul,50661,Park,Bahar
Gezilecek Yer 38935,5.0,Bodrum,12767,Müze,Sonbahar
Gezilecek Yer 38936,3.5,Ankara,42403,Restoran,Bahar
Gezilecek Yer 38937,4.9,İzmir,17007,Park,Yaz
Gezilecek Yer 38938,4.4,İstanbul,43045,Park,Yaz
Gezilecek Yer 38939,3.9,Bursa,51756,Tarihi Yer,Yaz
Gezilecek Yer 38940,4.1,Bursa,41414,Park,Bahar
Gezilecek Yer 38941,3.5,Trabzon,42298,Restoran,Bahar
Gezilecek Yer 38942,4.4,Bursa,44942,Restoran,Kış
Gezilecek Yer 38943,4.4,Bodrum,13205,Restoran,Sonbahar
Gezilecek Yer 38944,4.1,İstanbul,234,Plaj,Sonbahar
Gezilecek Yer 38945,3.5,Bursa,56445,Restoran,Sonbahar
Gezilecek Yer 38946,4.0,İstanbul,50918,Restoran,Sonbahar
Gezilecek Yer 38947,4.5,İstanbul,38611,Restoran,Yaz
Gezilecek Yer 38948,3.8,Antalya,31757,Müze,Bahar
Gezilecek Yer 38949,4.9,Adana,7851,Park,Kış
Gezilecek Yer 38950,4.2,Antalya,29379,Müze,Kış
Gezilecek Yer 38951,4.7,Muğla,34806,Tarihi Yer,Kış
Gezilecek Yer 38952,4.5,Bursa,42393,Tarihi Yer,Sonbahar
Gezilecek Yer 38953,4.1,İstanbul,10277,Park,Yaz
Gezilecek Yer 38954,4.9,Konya,47822,Tarihi Yer,Kış
Gezilecek Yer 38955,4.9,İstanbul,17337,Restoran,Sonbahar
Gezilecek Yer 38956,4.4,Ankara,48698,Tarihi Yer,Sonbahar
Gezilecek Yer 38957,3.9,Konya,27863,Tarihi Yer,Sonbahar
Gezilecek Yer 38958,3.6,Muğla,4803,Müze,Kış
Gezilecek Yer 38959,4.2,Adana,38989,Tarihi Yer,Sonbahar
Gezilecek Yer 38960,3.6,İzmir,20021,Restoran,Bahar
Gezilecek Yer 38961,3.6,Bodrum,1608,Plaj,Bahar
Gezilecek Yer 38962,3.5,Trabzon,26312,Restoran,Sonbahar
Gezilecek Yer 38963,4.0,Bursa,36813,Tarihi Yer,Kış
Gezilecek Yer 38964,4.2,Bursa,25866,Plaj,Kış
Gezilecek Yer 38965,3.9,Konya,57658,Plaj,Sonbahar
Gezilecek Yer 38966,3.8,Bodrum,13612,Tarihi Yer,Sonbahar
Gezilecek Yer 38967,4.8,Konya,34224,Park,Bahar
Gezilecek Yer 38968,4.5,Ankara,31119,Restoran,Sonbahar
Gezilecek Yer 38969,4.2,Antalya,8072,Park,Yaz
Gezilecek Yer 38970,4.6,İstanbul,59819,Plaj,Yaz
Gezilecek Yer 38971,3.6,Bursa,55957,Tarihi Yer,Sonbahar
Gezilecek Yer 38972,5.0,Antalya,20928,Tarihi Yer,Yaz
Gezilecek Yer 38973,4.2,Trabzon,38624,Park,Bahar
Gezilecek Yer 38974,4.0,Ankara,27893,Tarihi Yer,Bahar
Gezilecek Yer 38975,4.5,Antalya,984,Tarihi Yer,Sonbahar
Gezilecek Yer 38976,4.5,Trabzon,53482,Tarihi Yer,Yaz
Gezilecek Yer 38977,4.6,İzmir,14111,Park,Bahar
Gezilecek Yer 38978,3.8,Konya,44459,Park,Bahar
Gezilecek Yer 38979,5.0,İzmir,25821,Restoran,Yaz
Gezilecek Yer 38980,4.9,Adana,42326,Park,Sonbahar
Gezilecek Yer 38981,3.5,Bodrum,55200,Plaj,Kış
Gezilecek Yer 38982,4.0,İzmir,47550,Tarihi Yer,Kış
Gezilecek Yer 38983,3.9,İstanbul,1120,Müze,Sonbahar
Gezilecek Yer 38984,3.7,Konya,53242,Park,Sonbahar
Gezilecek Yer 38985,3.7,Bursa,11094,Tarihi Yer,Bahar
Gezilecek Yer 38986,4.5,İstanbul,23578,Plaj,Yaz
Gezilecek Yer 38987,4.6,İzmir,42987,Plaj,Kış
Gezilecek Yer 38988,3.7,Ankara,47451,Park,Bahar
Gezilecek Yer 38989,4.5,İzmir,7512,Müze,Yaz
Gezilecek Yer 38990,4.4,Antalya,55334,Tarihi Yer,Bahar
Gezilecek Yer 38991,3.9,Ankara,56641,Plaj,Kış
Gezilecek Yer 38992,4.6,Konya,43626,Park,Bahar
Gezilecek Yer 38993,4.7,İstanbul,55236,Restoran,Bahar
Gezilecek Yer 38994,3.6,Muğla,16940,Tarihi Yer,Bahar
Gezilecek Yer 38995,4.4,Bursa,55056,Park,Kış
Gezilecek Yer 38996,4.4,Muğla,37375,Park,Kış
Gezilecek Yer 38997,4.2,Antalya,59891,Tarihi Yer,Yaz
Gezilecek Yer 38998,3.5,Muğla,43930,Restoran,Bahar
Gezilecek Yer 38999,4.8,Bursa,9867,Tarihi Yer,Yaz
Gezilecek Yer 39000,3.8,Antalya,57665,Tarihi Yer,Kış
Gezilecek Yer 39001,3.8,İzmir,59754,Müze,Yaz
Gezilecek Yer 39002,4.9,Adana,41659,Restoran,Kış
Gezilecek Yer 39003,3.9,İstanbul,35272,Park,Bahar
Gezilecek Yer 39004,4.3,Ankara,3367,Müze,Kış
Gezilecek Yer 39005,4.2,Trabzon,4370,Tarihi Yer,Sonbahar
Gezilecek Yer 39006,4.3,Muğla,51678,Plaj,Yaz
Gezilecek Yer 39007,4.8,Trabzon,29976,Plaj,Sonbahar
Gezilecek Yer 39008,4.1,Trabzon,48196,Plaj,Kış
Gezilecek Yer 39009,3.5,Bursa,750,Restoran,Kış
Gezilecek Yer 39010,4.8,Bursa,15985,Park,Yaz
Gezilecek Yer 39011,3.8,Bursa,27199,Müze,Yaz
Gezilecek Yer 39012,4.2,Adana,22289,Müze,Sonbahar
Gezilecek Yer 39013,3.7,Ankara,49420,Müze,Bahar
Gezilecek Yer 39014,4.9,Ankara,28728,Park,Sonbahar
Gezilecek Yer 39015,3.7,Konya,28366,Müze,Sonbahar
Gezilecek Yer 39016,4.7,Bursa,8332,Park,Kış
Gezilecek Yer 39017,4.2,İstanbul,14079,Park,Sonbahar
Gezilecek Yer 39018,4.0,Muğla,52497,Restoran,Yaz
Gezilecek Yer 39019,4.9,Muğla,18797,Müze,Bahar
Gezilecek Yer 39020,5.0,İzmir,10134,Tarihi Yer,Sonbahar
Gezilecek Yer 39021,3.9,Bursa,523,Restoran,Sonbahar
Gezilecek Yer 39022,4.4,Ankara,56068,Müze,Kış
Gezilecek Yer 39023,4.7,Konya,33931,Park,Bahar
Gezilecek Yer 39024,4.9,Antalya,22544,Müze,Kış
Gezilecek Yer 39025,3.8,Bursa,51306,Park,Yaz
Gezilecek Yer 39026,3.6,Bursa,36945,Restoran,Yaz
Gezilecek Yer 39027,3.8,Bodrum,28557,Müze,Kış
Gezilecek Yer 39028,5.0,Ankara,48619,Plaj,Kış
Gezilecek Yer 39029,5.0,Muğla,961,Park,Yaz
Gezilecek Yer 39030,3.7,İstanbul,48863,Restoran,Sonbahar
Gezilecek Yer 39031,4.6,Konya,11549,Restoran,Kış
Gezilecek Yer 39032,3.7,Trabzon,48998,Müze,Bahar
Gezilecek Yer 39033,4.0,Bodrum,53496,Tarihi Yer,Bahar
Gezilecek Yer 39034,4.7,İstanbul,16177,Park,Kış
Gezilecek Yer 39035,4.5,Bursa,51713,Müze,Kış
Gezilecek Yer 39036,4.0,Adana,31212,Müze,Sonbahar
Gezilecek Yer 39037,4.3,Muğla,40717,Park,Kış
Gezilecek Yer 39038,4.8,Bursa,34865,Tarihi Yer,Bahar
Gezilecek Yer 39039,4.2,Adana,51221,Park,Kış
Gezilecek Yer 39040,4.0,Ankara,52942,Müze,Yaz
Gezilecek Yer 39041,4.6,Ankara,22791,Park,Yaz
Gezilecek Yer 39042,4.5,Adana,44710,Park,Yaz
Gezilecek Yer 39043,4.0,Adana,23809,Restoran,Bahar
Gezilecek Yer 39044,4.1,Adana,54634,Park,Yaz
Gezilecek Yer 39045,4.7,Trabzon,12943,Park,Bahar
Gezilecek Yer 39046,3.6,Muğla,28698,Park,Bahar
Gezilecek Yer 39047,4.0,Ankara,33330,Plaj,Yaz
Gezilecek Yer 39048,4.7,İzmir,27405,Tarihi Yer,Kış
Gezilecek Yer 39049,3.7,Bursa,31531,Restoran,Yaz
Gezilecek Yer 39050,3.9,Adana,50363,Plaj,Sonbahar
Gezilecek Yer 39051,4.3,Bursa,37199,Müze,Bahar
Gezilecek Yer 39052,4.6,Adana,51891,Plaj,Kış
Gezilecek Yer 39053,4.9,Bodrum,7418,Müze,Sonbahar
Gezilecek Yer 39054,4.1,İzmir,47967,Müze,Kış
Gezilecek Yer 39055,3.8,Konya,20417,Park,Bahar
Gezilecek Yer 39056,3.8,Trabzon,22008,Müze,Bahar
Gezilecek Yer 39057,4.2,Antalya,52987,Plaj,Bahar
Gezilecek Yer 39058,5.0,İstanbul,43423,Park,Bahar
Gezilecek Yer 39059,3.7,İzmir,47891,Müze,Kış
Gezilecek Yer 39060,4.0,Trabzon,10782,Tarihi Yer,Yaz
Gezilecek Yer 39061,3.5,Konya,17559,Plaj,Yaz
Gezilecek Yer 39062,5.0,İzmir,41754,Müze,Sonbahar
Gezilecek Yer 39063,4.3,Adana,54826,Restoran,Kış
